Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z, Hip Center X, Y, Z 
-0.251116,0.117082,2.9289,-0.127034,-0.778957,3.04035,-0.137827,-0.682248,3.12915,-0.0909455,-0.284117,3.03431,-0.0986302,0.103724,2.95248,-0.177233,0.11189,2.98055,-0.277656,-0.773009,2.67492,-0.293968,-0.689884,2.81496,-0.293968,-0.689884,2.81496
-0.293534,-0.311475,2.85462,-0.24505,0.114732,2.90622,-0.127394,-0.778658,3.04041,-0.137489,-0.684248,3.12531,-0.088032,-0.286485,3.02253,-0.092109,0.0998257,2.92764,-0.170876,0.108758,2.95679,-0.265792,-0.776808,2.63067,-0.265792,-0.776808,2.63067
-0.281176,-0.695155,2.77252,-0.279974,-0.308044,2.81767,-0.239821,0.110616,2.88249,-0.127481,-0.778665,3.04035,-0.137612,-0.684553,3.1228,-0.085282,-0.284553,3.00246,-0.0862447,0.0964167,2.90493,-0.165266,0.104948,2.93355,-0.165266,0.104948,2.93355
-0.253884,-0.796555,2.58036,-0.26413,-0.718374,2.72497,-0.273348,-0.325738,2.78741,-0.233954,0.10646,2.86024,-0.127906,-0.778281,3.03997,-0.137881,-0.683805,3.11955,-0.0832758,-0.28655,2.98544,-0.0808033,0.094193,2.88473,-0.0808033,0.094193,2.88473
-0.159558,0.101745,2.91235,-0.239326,-0.791422,2.56827,-0.260353,-0.716801,2.715,-0.267177,-0.321705,2.76453,-0.230983,0.100187,2.83517,-0.128019,-0.778187,3.03948,-0.138762,-0.6866,3.11531,-0.0800042,-0.291388,2.96483,-0.0800042,-0.291388,2.96483
-0.0761006,0.0892914,2.85576,-0.155712,0.096043,2.88535,-0.230163,-0.79935,2.54887,-0.247494,-0.720537,2.69259,-0.260513,-0.329671,2.74009,-0.227781,0.0939933,2.80391,-0.127128,-0.781783,3.03747,-0.138184,-0.692268,3.10542,-0.138184,-0.692268,3.10542
-0.0767904,-0.301694,2.93666,-0.0723143,0.085088,2.82962,-0.152145,0.0908324,2.85665,-0.224715,-0.8061,2.53868,-0.242701,-0.729827,2.68129,-0.255953,-0.332206,2.71826,-0.223428,0.0875695,2.77918,-0.125101,-0.785144,3.03453,-0.125101,-0.785144,3.03453
-0.137457,-0.695262,3.10034,-0.07539,-0.315354,2.91353,-0.0666946,0.0797512,2.80364,-0.147122,0.0848495,2.83125,-0.222561,-0.80873,2.53983,-0.242584,-0.729623,2.68023,-0.250868,-0.328638,2.70118,-0.222154,0.0857089,2.75651,-0.222154,0.0857089,2.75651
-0.124591,-0.785722,3.03325,-0.135673,-0.693524,3.08916,-0.0680466,-0.32058,2.87445,-0.0652873,0.0769067,2.77483,-0.145783,0.0824993,2.80561,-0.221567,-0.811656,2.54062,-0.242372,-0.729386,2.67819,-0.250034,-0.325004,2.68186,-0.250034,-0.325004,2.68186
-0.217937,0.0851832,2.72518,-0.121514,-0.789039,3.0259,-0.136365,-0.696761,3.0773,-0.0592053,-0.31635,2.8318,-0.0610928,0.0780577,2.74703,-0.141527,0.0828392,2.77594,-0.219809,-0.814381,2.54122,-0.242447,-0.727986,2.67508,-0.242447,-0.727986,2.67508
